FIPS,TFPYRM1999,TFPYRM2000,TFPYRM2001,TFPYRM2002,TFPYRM2003,TFPYRM2004,TFPYRM2005,TFPYRM2006,TFPYRM2007,TFPYRM2008,TFPYRM2009,TFPYRM2010,statename,stfips
05123,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Arkansas,05
05125,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05127,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05129,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05131,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05133,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,,05
05135,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,05
05137,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05139,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,Arkansas,05
05141,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05143,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05145,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05147,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05149,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
06001,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06003,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,,06
06005,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,,06
06007,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06009,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,,06
06011,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,,06
06013,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06015,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06017,166.20839,169.60962,178.37338,177.40399,179.5605,196.92831,195.8636,202.80519,212.99883,222.98143,218.44167,227.2094,California,06
06019,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06021,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,,06
06023,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06025,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06027,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,,06
06029,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06031,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06033,165.09288,184.254,197.20403,202.62329,216.39345,227.85899,208.58244,213.48195,228.28551,234.9572,234.85066,239.05809,California,06
06035,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
06037,168.41328,176.27739,180.40181,183.26256,188.21036,191.20547,187.99043,191.70467,204.67899,217.03125,213.08215,219.40648,California,06
06039,,,,166.85367,170.16348,181.04395,176.93845,188.05338,195.38832,208.13673,209.88429,215.11034,California,06
